Source Title,Source URL,Publisher,Service Category,Azure Service,Document Type,Authority Level,Date Accessed,Last Updated (If Available),Evidence Summary,Explicit / Implied / Incomplete,Confidence,Notes
Azure reliability documentation,https://learn.microsoft.com/en-us/azure/reliability/,Microsoft Learn,Cross-cutting,Multiple,Overview,High,2026-03-25,,Landing page for Azure reliability guidance and service-specific reliability guides.,Explicit,High,Used as the top-level navigation source.
Reliability guides by service,https://learn.microsoft.com/en-us/azure/reliability/overview-reliability-guidance,Microsoft Learn,Cross-cutting,Multiple,Overview,High,2026-03-25,,Explains the structure and scope of service reliability guides.,Explicit,High,Useful for source selection and consistency.
Azure services that support availability zones,https://learn.microsoft.com/en-us/azure/reliability/availability-zones-service-support,Microsoft Learn,Cross-cutting,Multiple,Reference,High,2026-03-25,2025-09-16,"Confirms service-level availability zone support is service, tier, and region dependent.",Explicit,High,Used to avoid overgeneralizing zone support.
Reliability in Azure Virtual Machines,https://learn.microsoft.com/en-us/azure/reliability/reliability-virtual-machines,Microsoft Learn,Compute,Azure Virtual Machines,Reliability guide,High,2026-03-25,,"Documents zone-failure behavior, customer responsibilities, and regional DR reliance on multi-region design or Site Recovery.",Explicit,High,Primary VM HA source.
About Site Recovery,https://learn.microsoft.com/en-us/azure/site-recovery/site-recovery-overview,Microsoft Learn,Compute,Azure Virtual Machines,Service overview,High,2026-03-25,,Confirms Site Recovery replicates workloads from a primary site to a secondary location for business continuity.,Explicit,High,Primary VM DR source.
Reliability in Azure SQL Database,https://learn.microsoft.com/en-us/azure/reliability/reliability-sql-database,Microsoft Learn,Databases,Azure SQL Database,Reliability guide,High,2026-03-25,2026-01-22,Documents zone redundancy behavior and automatic zone-failover handling inside a region.,Explicit,High,Primary SQL HA source.
Business continuity in Azure SQL Database,https://learn.microsoft.com/en-us/azure/azure-sql/database/business-continuity-high-availability-disaster-recover-hadr-overview?view=azuresql,Microsoft Learn,Databases,Azure SQL Database,BCDR guide,High,2026-03-25,,"Documents DR options including active geo-replication, failover groups, and geo-restore with RTO and RPO framing.",Explicit,High,Primary SQL DR source.
Reliability in Azure App Service,https://learn.microsoft.com/en-us/azure/reliability/reliability-app-service,Microsoft Learn,Compute,Azure App Service,Reliability guide,High,2026-03-25,2026-01-22,Documents zone redundancy requirements and states that App Service is a single-region service.,Explicit,High,Primary App Service HA source.
Multi-region App Service app approaches for disaster recovery,https://learn.microsoft.com/en-us/azure/architecture/web-apps/guides/multi-region-app-service/multi-region-app-service,Microsoft Learn,Compute,Azure App Service,Architecture guide,High,2026-03-25,,Provides multi-region DR approaches for App Service driven by RTO and RPO.,Explicit,High,Primary App Service DR source and diagram candidate.
Azure Storage redundancy,https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy,Microsoft Learn,Storage and Data Services,Azure Storage Account,Product documentation,High,2026-03-25,,"Documents LRS, ZRS, GRS, GZRS, and read-access geo options with HA versus regional disaster trade-offs.",Explicit,High,Primary storage redundancy source.
Azure storage disaster recovery planning and failover,https://learn.microsoft.com/en-us/azure/storage/common/storage-disaster-recovery-guidance,Microsoft Learn,Storage and Data Services,Azure Storage Account,BCDR guide,High,2026-03-25,2025-11-03,Explains failover planning and customer-managed planned or unplanned failover for geo-redundant storage accounts.,Explicit,Medium,Search result accessible; deep page content may require auth in this session.
Reliability in Azure Service Bus,https://learn.microsoft.com/en-us/azure/reliability/reliability-service-bus,Microsoft Learn,Integration and Messaging,Azure Service Bus,Reliability guide,High,2026-03-25,,Documents zone behavior and compares Geo-Replication with metadata Geo-Disaster Recovery.,Explicit,High,Primary Service Bus source.
Azure Service Bus Geo-Disaster Recovery,https://learn.microsoft.com/en-us/azure/service-bus-messaging/service-bus-geo-dr,Microsoft Learn,Integration and Messaging,Azure Service Bus,Product documentation,High,2026-03-25,,"Details alias behavior, replication limits, and non-replicated RBAC and networking settings.",Explicit,High,Used for Service Bus caveats.
Disaster recovery guidance for Azure Cosmos DB,https://learn.microsoft.com/en-us/azure/cosmos-db/disaster-recovery-guidance,Microsoft Learn,Databases,Azure Cosmos DB,BCDR guide,High,2026-03-25,,"Documents outage recovery by account configuration, including single-region, multi-region, and multi-write guidance.",Explicit,High,Primary Cosmos DB DR source.
Architecture best practices for Azure Front Door,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-front-door,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Front Door,Well-Architected service guide,High,2026-03-27,2025-08-20,Documents Front Door as the global routing layer for multi-region active-active or active-passive apps and warns it can be a potential single point of failure for mission-critical workloads.,Explicit,High,Primary Front Door reliability architecture source.
Global routing redundancy for mission-critical web applications,https://learn.microsoft.com/en-us/azure/architecture/guide/networking/global-web-applications/overview,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Front Door,Architecture guide,High,2026-03-27,2026-01-08,Describes Traffic Manager plus alternate ingress patterns for manual failover if Azure Front Door is unavailable.,Explicit,High,Primary Front Door DR caveat source.
