Service Category,Azure Service,Deployment Model / SKU,Workload Type,Stateful or Stateless,HA Capability Summary,DR Capability Summary,HA Pattern Type,DR Pattern Type,Same Region or Cross Region,Supports Availability Zones,Supports Cross Region Replication,Replication Type,Failover Type,Built-in or Customer-Implemented,Expected RTO Range,Expected RPO Range,Recommended For,Not Recommended For,Key Assumptions,Dependencies,Limitations,Cost Level,Complexity Level,Test / Drill Guidance,Diagram Available,Microsoft Learn Diagram Title,Microsoft Learn Diagram Link,Best Microsoft Learn Documentation Link 1,Best Microsoft Learn Documentation Link 2,Best Microsoft Learn Documentation Link 3,Source Confidence,Notes / Interpretation,Date Reviewed
Compute,Azure Virtual Machines,Single VM or multi-VM across zones,General purpose IaaS,Stateful or Stateless,"Azure VMs can use availability zones, but VM-level zone resiliency is customer designed rather than fully managed. Zone failure handling requires traffic rerouting and operational response by the customer.","VMs are single-region resources. For regional DR, deploy to another region and use Azure Site Recovery or a custom multi-region pattern with replication and failover.",Zone-distributed deployment with load balancer,Azure Site Recovery to secondary region,HA same region; DR cross region,Yes,Customer-implemented or dependent on disk choice,Application and data dependent; Site Recovery replicates VM workload state,Manual for zone events; manual or orchestrated for DR,Customer-implemented with Azure platform features,Zone failure downtime depends on workload failover design; region outage requires failover to secondary region,Zone-level RPO depends on app and storage design; regional DR depends on replication settings,Stateful workloads that need infrastructure control and can absorb operational complexity,Teams expecting PaaS-style automatic zone failover without runbooks,Multiple VMs or alternate capacity exist in healthy zones or regions,"Load balancer, app/data replication, DNS, monitoring, runbooks",Single zonal VM remains down until zone recovery; Site Recovery zone-to-zone has limitations; customer owns rerouting,Medium,High,Test with Chaos Studio for zone loss and exercise Site Recovery failover and failback regularly,No,,,https://learn.microsoft.com/en-us/azure/reliability/reliability-virtual-machines,https://learn.microsoft.com/en-us/azure/site-recovery/site-recovery-overview,,High,HA for VMs is architecture-dependent; zone support is not the same as true DR.,2026-03-25
Databases,Azure SQL Database,"General Purpose, Premium, Business Critical, Hyperscale",Transactional database,Stateful,Azure SQL Database includes built-in platform HA. Zone redundancy raises resiliency to zonal failures within a region and Azure handles zone failover automatically.,"For regional DR, use active geo-replication, failover groups, or geo-restore. Failover groups are generally the cleaner multi-database DR option because listener endpoints remain stable.",Built-in HA with optional zone redundancy,Failover groups or active geo-replication; geo-restore for slower recovery,HA same region; DR cross region,Yes,Yes,Zone redundancy is intra-region; DR options use continuous sync or geo-replicated backups,Automatic for zonal HA; customer-managed failover policy for DR patterns,Built-in plus configurable,HA with zone redundancy is typically under 30 seconds per Microsoft for zone failover; DR fit depends on chosen feature,HA RPO is effectively zero for zone failover; DR RPO for failover groups or active geo-replication depends on async replication lag,Mission-critical SQL workloads needing managed HA and strong DR options,Workloads that need guaranteed synchronous cross-region zero-loss semantics,Service tier and region support are validated before recommendation,"Client retry logic, failover policy, DNS/listener usage, app connection resiliency",Zone redundancy is HA not regional DR; DR precision is feature and workload dependent,Medium to High,Medium,"Run failover drills, validate application retry behavior, and test geo-restore separately from failover groups",No,,,https://learn.microsoft.com/en-us/azure/reliability/reliability-sql-database,https://learn.microsoft.com/en-us/azure/azure-sql/database/business-continuity-high-availability-disaster-recover-hadr-overview?view=azuresql,,High,Do not label zone redundancy as DR; true regional DR starts with cross-region patterns.,2026-03-25
Compute,Azure App Service,Premium v2 to v4 plan,Web application and API hosting,Stateless with externalized state recommended,App Service supports zone redundancy on supported Premium plans. The platform handles zone failure detection and traffic redistribution inside the region.,App Service is a single-region service. Regional DR requires duplicating the app in another region and combining it with traffic management and replicated dependencies.,Zone-redundant App Service plan,Customer-managed multi-region duplicate deployment,HA same region; DR cross region,Yes,Customer-managed,App file system state is synchronously replicated across zones when zone redundant; cross-region data handling depends on dependent services,Automatic for zone events; customer-managed for regional failover,Built-in plus customer-implemented,"Zone-redundant plans continue serving traffic during zone issues, but regional outage makes the app unavailable until traffic is shifted to another region",HA RPO is tied to platform-managed zone redundancy for app state; DR RPO depends on cross-region data replication strategy,HTTP apps that can keep state outside the web tier and duplicate deployment across regions,Apps that keep critical state only on local App Service storage,"Premium tier, supported scale unit, and minimum two instances are available","Traffic manager or Front Door, replicated data tier, configuration sync, certificates and secrets in both regions",Not all scale units support zone redundancy; overprovisioning is recommended if capacity must survive zone loss,Medium,Medium,Test regional failover through the chosen traffic routing layer and verify deployment parity between regions,Yes,Multi-region App Service app approaches for disaster recovery,https://learn.microsoft.com/en-us/azure/architecture/web-apps/guides/multi-region-app-service/multi-region-app-service,https://learn.microsoft.com/en-us/azure/reliability/reliability-app-service,https://learn.microsoft.com/en-us/azure/architecture/web-apps/guides/multi-region-app-service/multi-region-app-service,,High,App Service zone redundancy is HA; DR is always a broader multi-region application pattern.,2026-03-25
Storage and Data Services,Azure Storage Account,"LRS, ZRS, GRS, GZRS, RA-GRS, RA-GZRS","Object, queue, table, file, lake storage",Stateful,Storage redundancy settings determine local and zonal resiliency. Microsoft recommends ZRS in the primary region for high availability and for Data Lake Storage workloads.,"Regional DR comes from GRS or GZRS with failover, and optional read access comes from RA-GRS or RA-GZRS.",LRS or ZRS depending HA need,GRS or GZRS with failover; RA variants for readable secondary,HA same region; DR cross region when geo options are used,Yes with ZRS and GZRS,Yes with GRS GZRS RA variants,Synchronous in-region for ZRS; asynchronous to secondary for GRS or GZRS,Automatic within region; regional failover is customer-managed or Microsoft-managed depending scenario,Built-in plus configurable,Local or zonal HA is immediate based on redundancy choice; regional failover timing depends on failover process,ZRS has no regional copy; GRS and GZRS are asynchronous cross-region designs so some lag can exist,Storage-centric workloads where redundancy choice can be aligned to business RTO and RPO,Teams assuming LRS or ZRS alone provide regional DR,Applications tolerate the chosen replication lag and failover model,"Failover runbook, application read/write endpoint handling, testing, DNS and secondary-read design",Azure Files does not support RA-GRS or RA-GZRS; secondary region access differs by redundancy option,Low to Medium,Low to Medium,Exercise planned failover where supported and validate client behavior against secondary endpoints,Yes,Diagram showing how data is replicated with GRS or RA-GRS,https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy,https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy,https://learn.microsoft.com/en-us/azure/storage/common/storage-disaster-recovery-guidance,,High,"Same-region redundancy is HA, while geo-redundancy is the storage DR boundary.",2026-03-25
Integration and Messaging,Azure Service Bus,Premium tier namespace,Messaging,Stateful,Service Bus provides built-in zone resilience behavior and automatically reroutes to healthy replicas during zone issues.,"For region outages, Premium tier supports Geo-Replication for metadata plus data and metadata Geo-Disaster Recovery for metadata only. Microsoft recommends Geo-Replication for most DR scenarios.",Zone-resilient Premium namespace,Geo-Replication preferred; metadata Geo-Disaster Recovery only when metadata-only continuity is acceptable,HA same region; DR cross region,Yes,Yes in Premium tier,Geo-Replication can be synchronous or asynchronous; Geo-DR is metadata-only,Managed within zone; regional promotion/failover is manual,Built-in plus configurable,Zone issues are service-managed; DR timing depends on manual promotion and client switchover,Geo-Replication can avoid data loss in planned promotion; metadata Geo-DR does not replicate messages,Critical messaging systems needing managed broker semantics and clear regional recovery options,Workloads that assume metadata Geo-DR preserves queued messages,Premium tier is acceptable and application understands alias and promotion model,"RBAC, networking, aliases, runbooks, and downstream message durability strategy",Standard and Basic lack native multi-region features; Service Bus itself has no backup and restore for message data,Medium,Medium,Run planned promotion tests and validate message durability expectations before calling a design enterprise ready,No,,,https://learn.microsoft.com/en-us/azure/reliability/reliability-service-bus,https://learn.microsoft.com/en-us/azure/service-bus-messaging/service-bus-geo-dr,,High,Do not present metadata Geo-DR as data-protecting DR.,2026-03-25
Databases,Azure Cosmos DB,"Single-region, single-write multi-region, or multi-write multi-region account",Globally distributed database,Stateful,A single-region account with availability zones can survive a single-zone outage in-region.,"Regional recovery behavior depends on account topology. Single-region accounts may need restore to another region if outage exceeds RTO. Multi-region accounts can reroute reads and, with multi-write or PPAF patterns, preserve higher availability.",Availability Zones for single-region HA; multi-region replicas for broader HA,Multi-region account design; region offline operation or restore depending configuration,HA same region and cross region depending account design; DR cross region,Yes,Yes,Replication depends on account configuration and consistency model,Automatic routing with SDK in multi-region cases; some operations require region offline action,Built-in plus configurable,Multi-write accounts can continue through a regional outage with minimal disruption; single-region accounts cannot,"RPO and write availability depend heavily on account topology, consistency, and backup mode",Globally distributed apps that can use SDK-aware regional routing and well-planned account topology,Single-region critical workloads with aggressive RTO and RPO targets,Clients are configured with preferred regions or application region settings,"Traffic routing, private DNS behavior, consistency tuning, backup mode, operational runbooks",Service-managed failover timing can take one hour or more; restore and online-region actions can take days,High,High,"Test region outage procedures, SDK preferred-region behavior, and restore paths; avoid control-plane changes during outages",No,,,https://learn.microsoft.com/en-us/azure/cosmos-db/disaster-recovery-guidance,,,High,Cosmos DB requires topology-specific recommendations; one account shape cannot represent the whole service.,2026-03-25
"Identity, Security, and Platform Dependencies",Azure Front Door,Standard or Premium,Global HTTP ingress and CDN edge,Stateless,Azure Front Door is a globally distributed service designed to route traffic across multiple origins and regions. It supports active-active and active-passive origin strategies with health probes and edge routing.,"Front Door itself is highly resilient, but Microsoft explicitly warns it can still be a potential single point of failure for mission-critical workloads. For higher DR assurance, add a secondary ingress path such as Traffic Manager directing to an alternate router.",Global health-probed ingress across multiple origins,Manual failover to alternate ingress path for mission-critical architectures,Cross-region by design for app origins; Front Door service is global,Global service,Not a data replication service; origin redundancy is customer-managed,Health probes and routing decisions across origins,Automatic across healthy origins; manual for alternate-router DR pattern,Built-in plus customer-implemented,"For origin failures, failover is near-real-time based on health probes; for Front Door service-level disruption, DR depends on manual alternate path procedures",No data RPO concept for Front Door itself; effective DR depends on origin and data tiers behind it,Internet-facing apps deployed in multiple regions that need global routing and edge security,Single-region backends with no redundant origin strategy or teams expecting Front Door alone to satisfy end-to-end DR,Origins exist in multiple regions and expose solid health endpoints,"Origin health endpoints, WAF, TLS and certificate strategy, origin security model, alternate router if required",Front Door is not the whole DR strategy; it depends on origin resilience and may need redundant routing only for mission-critical workloads,Medium to High,Medium to High,"Test origin failover, health probe behavior, and any Traffic Manager manual failover runbook for alternate ingress",Yes,Global routing redundancy for mission-critical web applications,https://learn.microsoft.com/en-us/azure/architecture/guide/networking/global-web-applications/overview,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-front-door,https://learn.microsoft.com/en-us/azure/architecture/guide/networking/global-web-applications/overview,,High,Front Door improves global availability but should not be treated as the only DR layer for mission-critical ingress.,2026-03-27
"Identity, Security, and Platform Dependencies",Azure Application Gateway,v2 SKU / WAF v2,Regional web ingress and WAF,Stateless,Application Gateway v2 is a managed regional service with at least two instances for HA. Zone redundancy can protect against zone failure within supported regions.,Regional DR is not built in. Protect against a region outage by duplicating the gateway and backend stack in another region and placing a global routing layer such as Front Door or Traffic Manager in front.,Built-in multi-instance HA with optional zone redundancy,Customer-managed cross-region duplicate deployment,HA same region; DR cross region,Yes on v2 in supported regions,Customer-implemented,No cross-region replication in the service itself,Managed in-region; customer-managed regional failover,Built-in plus customer-implemented,In-region HA is platform-managed; regional recovery depends on upstream routing and duplicated regional deployment,Application Gateway is stateless so RPO is driven by backend configuration rather than the gateway,Regional web workloads needing Layer 7 routing and WAF close to the app,Teams that need native cross-region DR in a single resource,v2 SKU is used and backend pools are themselves resilient,"Backend health, autoscaling sizing, WAF policy parity, global routing layer for regional DR",Gateway resiliency does not cover backend availability; regional DR requires another gateway and another backend footprint,Medium,Medium,"Test backend health probe paths, zone outage tolerance, and global failover to a second regional gateway",Yes,Reliability in Azure Application Gateway v2,https://learn.microsoft.com/en-us/azure/reliability/reliability-application-gateway-v2,https://learn.microsoft.com/en-us/azure/reliability/reliability-application-gateway-v2,,,High,Application Gateway is HA inside a region; DR starts only when you add another region and a global traffic director.,2026-03-27
Integration and Messaging,API Management,"Premium classic, Premium v2, Standard v2 and others by tier",API gateway and management plane,Stateful,"API Management uses scale units with built-in redundancy. Premium classic supports availability zones and multi-region deployments, while several other tiers are single-datacenter or single-region only.",Regional DR is strongest in Premium classic through multi-region deployment with regional gateways. Other tiers have materially less DR capability and may need backup and restore or customer-managed duplicate deployments.,Multi-unit HA; zone redundancy where supported,Multi-region deployment in Premium classic; otherwise limited customer-managed DR,HA same region; DR cross region only in supported tiers,Yes for supported Premium configurations,Varies by tier,Configuration and gateway deployment replicated by service according to tier and region design,Automatic within configured zones and units; regional behavior depends on multi-region setup,Built-in plus configurable,In-region HA improves with two or more units and zone support; regional outage tolerance depends on tier and whether extra regions are deployed,RPO precision is not uniformly documented across tiers; fit is based on deployment model rather than guaranteed zero-loss semantics,Enterprise API platforms that can justify Premium classic for multi-region availability,"Consumption, Developer, or single-region tiers when the business requires strong native DR",Tier and region support are validated before recommendation,"Scale units, VNet settings, certificate and domain replication, backend resilience, DNS or client routing",Premium classic is the only tier explicitly supporting multi-region deployments; not all tiers support zones,Medium to High,High,"Exercise region failure scenarios, long-running infrastructure changes, and certificate or domain rollout processes",Yes,Reliability in Azure API Management,https://learn.microsoft.com/en-us/azure/api-management/high-availability,https://learn.microsoft.com/en-us/azure/api-management/high-availability,https://learn.microsoft.com/en-us/azure/api-management/enable-availability-zone-support,,High,APIM recommendations must be tier-specific; avoid implying that all tiers have Premium-class DR features.,2026-03-27
"Identity, Security, and Platform Dependencies",Azure VPN Gateway,VpnGw1AZ or higher for zone-aware designs,Hybrid connectivity and VNet-to-VNet VPN,Stateful and Stateless,"Azure VPN Gateway uses two gateway VMs and provides active-standby by default, with zone redundancy available on supported SKUs and active-active mode for higher availability.",Regional DR is customer-managed and generally requires another gateway in another region plus resilient on-premises devices and routing. The gateway service alone does not provide full end-to-end DR.,Zone-redundant or active-active VPN gateway,Duplicate regional connectivity design with paired gateways and routing,HA same region; DR cross region,Yes on AZ SKUs,Customer-implemented,VPN tunnels and routing state across gateway instances; no native cross-region replication abstraction,Automatic failover between gateway instances; customer-managed for regional DR,Built-in plus customer-implemented,Active-standby failover causes a brief interruption; active-active and multiple tunnels improve availability,RPO is connectivity-state oriented rather than data-service oriented; application data RPO is external to the gateway,Hybrid networks that need resilient site-to-site or VNet-to-VNet connectivity,Architectures that ignore on-premises device resilience or rely on a single tunnel or device,Remote devices support active-active or BGP where required,"On-premises VPN devices, local network gateways, BGP, routing design, monitoring",Overall reliability depends on both Azure gateway and on-premises side; point-to-site reconnect behavior differs from site-to-site,Medium,High,"Test gateway failover, tunnel loss, and regional rerouting from both Azure and on-premises perspectives",Yes,Design highly available gateway connectivity for cross-premises and VNet-to-VNet connections,https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-highlyavailable,https://learn.microsoft.com/en-us/azure/reliability/reliability-virtual-network-gateway,https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-highlyavailable,,High,"For VPN, HA is topology-specific and regional DR is always a broader network design problem, not a single checkbox.",2026-03-27
"Identity, Security, and Platform Dependencies",Azure Virtual WAN,Standard SKU with multiple hubs,Global transit networking,Stateful and Stateless,"Virtual WAN provides resiliency inside a hub through active-active gateways and, in the Standard SKU, zone-redundant gateway deployment where supported. It also supports layered redundancy across zones, connections, and routes.",Regional DR requires deploying multiple hubs across regions and planning routing for automatic or manual failover. A single hub is not regional DR.,Zone-redundant active-active hub services,Multi-hub multi-region topology,HA same region; DR cross region,Yes in Standard SKU-supported designs,Customer-implemented at topology level,Gateway and route redundancy within hub; cross-region resiliency through multiple hubs,Automatic within a hub; customer-designed region failover,Built-in plus customer-implemented,Hub-level failures are masked by active-active and zonal design; region outage recovery depends on extra hubs and routing strategy,"RPO is connectivity-state oriented, not a replicated data-store metric; app/data tiers define effective RPO","Enterprise transit networks that need scalable branch, user, and VNet connectivity with resilience layers",Single-hub architectures presented as regional DR,Virtual WAN Standard is used and routing/failover behavior is designed intentionally,"Hub placement, route intent, BGP, gateway sizing, monitoring, branch device resilience",Gateways do not auto-scale instantly; routing asymmetry and capacity planning matter during failover,High,High,"Run multihub failover drills, test branch and user path selection, and validate routing under degraded conditions",Yes,Virtual WAN network topology in an Azure landing zone,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/virtual-wan-network-topology,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-virtual-wan,https://learn.microsoft.com/en-us/azure/virtual-wan/virtual-wan-faq,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/virtual-wan-network-topology,High,"Virtual WAN HA is mostly built into hub services, but regional DR is a network topology decision, not a single feature toggle.",2026-03-27
