Service Category,Azure Service,Workload Category,Deployment Model / SKU,Stateful or Stateless,Criticality Options,Supports Availability Zones,Supports Cross Region Replication,Native Failover Capability,Typical Pattern Notes,Region / Zone Notes,Status
Compute,Azure Virtual Machines,Compute,IaaS,Stateful,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess ASR and zonal design per workload,Validate by region,First pass complete
Compute,Virtual Machine Scale Sets,Compute,IaaS,Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess zone balancing and regional DR options,Validate by region,Planned
Compute,Azure App Service,PaaS,PaaS,Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess zone support and regional duplication,Validate by region,First pass complete
Compute,Azure Functions,PaaS,PaaS,Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess hosting plan impact on resiliency,Validate by region,First pass complete
Compute,Azure Kubernetes Service (AKS),Containers,PaaS / Managed Kubernetes,Stateful and Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess zone/node pool and multi-region patterns,Validate by region,First pass complete
Compute,Azure Container Apps,Containers,PaaS,Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess environment resiliency and regional duplication,Validate by region,Planned
Databases,Azure SQL Database,Database,PaaS,Stateful,Critical|Important|Standard,Unknown,Yes,Native plus configurable,Assess zone redundancy and failover groups,Validate by tier and region,First pass complete
Databases,Azure SQL Managed Instance,Database,PaaS,Stateful,Critical|Important|Standard,Unknown,Yes,Native plus configurable,Assess backup geo-restore and failover groups if applicable,Validate by tier and region,Planned
Databases,SQL Server on Azure VMs,Database,IaaS,Stateful,Critical|Important|Standard,Customer-implemented,Customer-implemented,Customer-managed,Assess Always On and ASR patterns,Validate by design,Planned
Databases,Azure Database for PostgreSQL Flexible Server,Database,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Native plus configurable,Assess HA mode and cross-region replica/promotion,Validate by region and tier,Planned
Databases,Azure Database for MySQL Flexible Server,Database,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Native plus configurable,Assess HA mode and replica strategy,Validate by region and tier,Planned
Databases,Azure Cosmos DB,Database,PaaS,Stateful,Critical|Important|Standard,Yes,Yes,Native plus configurable,Assess multi-region writes and consistency trade-offs,Validate by API and region,First pass complete
Databases,Azure Cache for Redis,Cache,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Native plus configurable,Assess persistence and geo-replication options,Validate by tier,Planned
Storage and Data Services,Azure Storage Account,Storage,PaaS,Stateful,Critical|Important|Standard,Varies,Yes,Native plus configurable,Assess ZRS GRS GZRS RA-GZRS implications,Validate by region and redundancy type,First pass complete
Storage and Data Services,Azure Files,Storage,PaaS,Stateful,Critical|Important|Standard,Varies,Yes,Native plus configurable,Assess ZRS and geo-redundant account dependencies,Validate by tier and region,Planned
Storage and Data Services,Azure NetApp Files,Storage,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Customer-managed plus service features,Assess replication and regional support,Validate by region,Planned
Storage and Data Services,Azure Data Lake Storage,Storage,PaaS,Stateful,Critical|Important|Standard,Varies,Yes,Native plus configurable,Assess underlying storage redundancy,Validate by account design,Planned
Storage and Data Services,Azure AI Search,AI / Search,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Customer-managed plus service features,Assess replicas partitions and backup/export strategy,Validate by region and SKU,Planned
Integration and Messaging,Azure Service Bus,Messaging,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Native plus configurable,Assess premium zones and geo-disaster recovery,Validate by tier and region,First pass complete
Integration and Messaging,Event Hubs,Messaging,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Native plus configurable,Assess availability zones and geo-disaster recovery,Validate by tier and region,Planned
Integration and Messaging,Event Grid,Messaging,PaaS,Stateless,Critical|Important|Standard,Platform-managed,Customer-implemented,Platform plus customer-managed,Assess subscriber endpoint resiliency and regional strategy,Validate by region,Planned
Integration and Messaging,API Management,Integration,PaaS,Stateful,Critical|Important|Standard,Unknown,Varies,Native plus configurable,Assess multi-region and zone support by tier,Validate by tier and region,First pass complete
Integration and Messaging,Logic Apps,Integration,PaaS,Stateful and Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Platform plus customer-managed,Assess Standard vs Consumption behavior,Validate by hosting model,Planned
Integration and Messaging,Integration Account,Integration,PaaS,Stateful,Critical|Important|Standard,Unknown,Customer-implemented,Customer-managed,Assess paired-region and dependency strategy,Validate by service behavior,Planned
"Identity, Security, and Platform Dependencies",Azure Key Vault,Security,PaaS,Stateful,Critical|Important|Standard,Unknown,Yes,Native plus configurable,Assess regional service behavior and backup/restore limits,Validate by tier and region,First pass complete
