Azure Service,Workload Category,Criticality,RTO Band,RPO Band,Custom RTO Upper Bound,Custom RPO Upper Bound,Recommended HA Strategy,Recommended DR Strategy,Recommended Architecture Pattern,Recommended Replication Approach,Recommended Failover Method,Recommendation Scope,Delivers Local Resiliency,Delivers Zonal Resiliency,Delivers Regional Resiliency,Why This Fits,Key Caveats,Operational Prerequisites,Cost Level,Complexity Level,Primary Diagram Link,Primary Documentation Link,Decision Confidence,Date Reviewed,Region Preference,Topology Preference,Cost Sensitivity,Simplicity vs Resilience
Azure SQL Database,Database,Critical,Band C,Band C,01:00,00:15,Enable zone redundancy for in-region HA,Use failover groups across regions,Zone-redundant primary with secondary logical server and failover group,Continuous async cross-region synchronization,Customer-managed failover policy with listener endpoints,Both,Yes,Yes,Yes,Fits managed SQL workloads that need strong in-region HA and fast regional recovery without changing connection strings.,DR RPO depends on replication lag; zone redundancy is not regional DR.,"Retry-aware client, secondary server, failover policy, tested runbook",Medium to High,Medium,https://learn.microsoft.com/en-us/azure/azure-sql/database/business-continuity-high-availability-disaster-recover-hadr-overview?view=azuresql,https://learn.microsoft.com/en-us/azure/reliability/reliability-sql-database,High,2026-03-25
Azure Virtual Machines,Compute,Important,Band B,Band B,04:00,01:00,Deploy redundant VMs across zones behind a load balancer,Replicate to a secondary region with Azure Site Recovery,Zone-distributed active-passive or active-active VM tier plus ASR,Site Recovery replication to secondary region,Customer-initiated failover with rerouting,Both,Yes,Yes,Yes,Fits VM workloads that cannot be refactored to PaaS and can support operational runbooks.,Single zonal VM is not enough; traffic rerouting and app/data replication remain customer responsibilities.,"Load balancer, monitoring, ASR policy, DNS/failover runbook",Medium,High,,https://learn.microsoft.com/en-us/azure/reliability/reliability-virtual-machines,Medium,2026-03-25
Azure App Service,Web,Important,Band C,Band B,01:00,01:00,Use zone-redundant Premium plan with at least two instances,Deploy an equivalent app stack in a second region and front it with global routing,Zone-redundant App Service plus Front Door or Traffic Manager and replicated dependencies,Customer-managed app and data replication across regions,Traffic-routing failover,Both,Yes,Yes,Yes,Fits stateless web apps that can externalize state and duplicate dependencies across regions.,"App Service is single-region; DR depends on the rest of the stack, not just the web app.","Premium plan, supported scale unit, duplicated secrets/config, traffic manager layer",Medium,Medium,https://learn.microsoft.com/en-us/azure/architecture/web-apps/guides/multi-region-app-service/multi-region-app-service,https://learn.microsoft.com/en-us/azure/reliability/reliability-app-service,High,2026-03-25
Azure Storage Account,Storage,Standard,Band A,Band B,24:00,01:00,Use ZRS for in-region high availability where supported,Use GRS or GZRS and prepare failover procedures,ZRS for HA; GZRS for combined zonal and regional protection,Synchronous in-region with asynchronous geo replication,Customer-managed planned or unplanned failover depending scenario,Both,Yes,Yes,Yes,Fits storage-centric workloads that can choose redundancy directly from the platform.,GRS and GZRS are asynchronous; not all services support read access in the secondary.,"Redundancy selection, endpoint handling, failover testing",Low to Medium,Low to Medium,https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy,https://learn.microsoft.com/en-us/azure/storage/common/storage-disaster-recovery-guidance,High,2026-03-25
Azure Service Bus,Messaging,Critical,Band C,Band C,01:00,00:15,Use Premium with zone-resilient deployment,Prefer Geo-Replication for DR; use metadata Geo-DR only if message loss is acceptable,Premium namespace with secondary region pairing,Geo-Replication if message data must survive; metadata-only Geo-DR otherwise,Manual promotion/failover,Both,Yes,Yes,Yes,Fits enterprise messaging where preserving broker behavior and message durability matters.,Metadata Geo-DR does not replicate messages and RBAC/network settings are not fully mirrored.,"Premium tier, alias strategy, RBAC duplication, promotion runbook",Medium,Medium,https://learn.microsoft.com/en-us/azure/service-bus-messaging/service-bus-geo-dr,https://learn.microsoft.com/en-us/azure/reliability/reliability-service-bus,High,2026-03-25
Azure Cosmos DB,Database,Critical,Band D,Band C,00:15,00:05,Use availability zones and multi-region account design aligned to consistency needs,Use multi-write regions where business case justifies it; otherwise use multi-region with tested failover behavior,Multi-region account with SDK-aware routing and backup strategy,Native multi-region replication based on account topology,Automatic routing for healthy regions; region offline or restore in some topologies,Both,Yes,Yes,Yes,Fits globally distributed apps that need low RTO and can invest in topology-aware design.,Single-region accounts do not meet aggressive DR targets; failover timing varies by topology and service-managed action can take an hour or more.,"Preferred regions, consistency review, private DNS validation, restore plan",High,High,,https://learn.microsoft.com/en-us/azure/cosmos-db/disaster-recovery-guidance,Medium,2026-03-25
Azure Front Door,Web / API,Critical,Band D,Band C,00:15,00:15,Use Front Door with multiple healthy origins across regions,"For mission-critical workloads, add a secondary ingress path such as Traffic Manager to an alternate router",Global Front Door plus multi-region active-active or active-passive origins,Health-probed origin routing; alternate ingress only if the business case demands it,Automatic origin failover; manual failover to alternate ingress if Front Door itself is unavailable,Both,Yes,N/A,Yes,"Fits global web apps that need automatic origin failover and edge routing, while separating ingress HA from full workload DR.",Front Door can still be a singleton-style dependency; alternate ingress adds cost and complexity.,"Reliable health endpoints, replicated origins, origin security model, runbook for alternate ingress if used",Medium to High,Medium to High,https://learn.microsoft.com/en-us/azure/architecture/guide/networking/global-web-applications/overview,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-front-door,High,2026-03-27
Azure Application Gateway,Web / API,Important,Band C,Band B,01:00,01:00,Use v2 with autoscaling and zone redundancy in-region,Deploy a second regional gateway and backend stack behind Front Door or Traffic Manager,Regional Application Gateway pair with global traffic routing,No service-level replication; DR comes from duplicate regional stack,"Automatic in-region, customer-managed cross-region",Both,Yes,Yes,Yes,"Fits regional web ingress that needs WAF and Layer 7 control, while making regional DR explicit and separate.",Gateway HA does not protect the backend; single-region Application Gateway is not DR.,"Second region, global routing, backend parity, WAF parity, tested failover",Medium,Medium,https://learn.microsoft.com/en-us/azure/reliability/reliability-application-gateway-v2,https://learn.microsoft.com/en-us/azure/reliability/reliability-application-gateway-v2,High,2026-03-27
API Management,API,Critical,Band C,Band B,01:00,01:00,Use at least two units and zone support where available,Use Premium classic multi-region deployment when strong native DR is required,Premium classic multi-region API gateways,Service-managed multi-region gateway deployment in Premium classic,Automatic in-region; regional continuity depends on configured extra regions,Both,Yes,Yes,Yes,Fits enterprise API platforms that need richer managed HA and DR and can justify the tier.,Tier limits matter: most non-Premium tiers do not support multi-region deployment.,"Premium classic tier, extra regions, domain and certificate parity, resilient backends",High,High,https://learn.microsoft.com/en-us/azure/api-management/high-availability,https://learn.microsoft.com/en-us/azure/api-management/high-availability,High,2026-03-27
API Management,AI / Search,Critical,Band C,Band B,01:00,01:00,Use at least two units and zone support where available,Use Premium classic multi-region deployment when strong native DR is required,Premium classic multi-region API gateways with AI-specific backend routing,Service-managed multi-region gateway deployment in Premium classic,Automatic in-region; regional continuity depends on configured extra regions,Both,Yes,Yes,Yes,Fits AI/ML workloads fronted by APIM that require managed HA/DR for the gateway layer.,Tier limits matter; backend AI service resilience is separate and must be designed.,"Premium classic tier, extra regions, domain and certificate parity, resilient AI backends",High,High,https://learn.microsoft.com/en-us/azure/api-management/high-availability,https://learn.microsoft.com/en-us/azure/reliability/reliability-api-management,High,2026-03-27
